직무 분야,질문 키워드,답변 키워드,추천 회사
IT·개발·전자,"서술, 목표, 지원자, 문항, 전문, 팀워크, 연결, 공동, 달성, 성취, 해시태그, 포함, 특별, 가치관, 개성","공정, 데이터, 결과, 분석, 반도체, 기술, 목표, 팀원, 문제, 설계, 실험, 조건, 프로젝트, 필요, 전공","삼성전기, 삼성SDI, HD현대인프라코어"
IT·전자,"지원자, 서술, 소개, 자신, 자유, 가치관, 활동, 목표, 자기, 성격, 단점, 경력, 현재, 시점, 관심","설계, 회계, 분석, 기업, 공정, 목표, 수치, 공유, 재무, 이해, 협업, 모습, 중요, 단순, 전략","아모레퍼시픽, 대웅제약, 현대글로비스"
경영지원,"프로그램, 온보딩, 본인, 소개, 대학, 생활, 도움, 구체, 사명, 구성원, 교육, 이유, 신입사원, 경력, 사원","콘텐츠, 즐거움, 프로그램, 웹툰, 처음, 시간, 조직, 신입사원, 문화, 하루, 활동, 방식, 활용, 학생, 감정","아모레퍼시픽, 금호석유화학, 두산에너빌리티"
생산·제조,"서술, 목표, 지원자, 전문, 팀워크, 연결, 공동, 달성, 성취, 해시태그, 포함, 특별, 가치관","현장, 데이터, 이상, 공정, 확인, 목표, 조건, 충전, 반복, 불량, 설계, 개선, 연결, 기준, 취출","이마트, 하나금융그룹, 네이버"
영업·마케팅,"기술, 본인, 제품, 자유, 소개, 키워드, 해당, 서술, 수행, 중심, 중요, 요소, 강점, 산업, 분석","고객, 제품, 시장, 콘텐츠, 제작, 분석, 브랜드, 운영, 데이터, 비누, 프로젝트, 기획, 전략, 제안, 동아리","기아, 롯데쇼핑, 신세계"
